,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"m1",,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,
,,"m2",,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
,,"m3",,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,
,,"mc0",,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,
,,"mc1",,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,,,,,,
,,"mc2",,,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,
,,"mc3",,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
,,"struct mov_ram_y",,,,,,,,,,,,,1,,,"y_src",,,,,,,,,,,,,,,,,
,,"struct clr_a",,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,
,,"struct mov_alu_a",,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
,,"struct mov_ram_a",,,,,,,,,,,,,,1,1,"y_src",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
,"D1-bus","enum d1_src",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"m0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
,,"m1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1
,,"m2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,2
,,"m3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,3
,,"mc0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,4
,,"mc1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,5
,,"mc2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,6
,,"mc3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,7
,,"all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,9
,,"alh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,10
,,"enum d1_dst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"mc0",,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0
,,"mc1",,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,1
,,"mc2",,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,2
,,"mc3",,,,,,,,,,,,,,,,,,,,,0,0,1,1,,,,,,,,,3
,,"rx",,,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,,4
,,"pl",,,,,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,,,,5
,,"ra0",,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,6
,,"wa0",,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,7
,,"lop",,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,10
,,"top",,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,11
,,"ct0",,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,,,,,,,12
,,"ct1",,,,,,,,,,,,,,,,,,,,,1,1,0,1,,,,,,,,,13
,,"ct2",,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,,,,,,,14
,,"ct3",,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,15
,,"struct mov_imm_d1",,,,,,,,,,,,,,,,,,,0,1,"d1_dst",,,,"imm",,,,,,,,
,,"struct mov_ram_d1",,,,,,,,,,,,,,,,,,,1,1,"d1_dst",,,,,,,,"d1_src",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
"LOAD",,"struct mvi",1,0,"dst",,,,0,"imm",,,,,,,,,,,,,,,,,,,,,,,,,
,"conditional","struct mvi_cond",1,0,"dst",,,,1,"cond",,,,,,"imm",,,,,,,,,,,,,,,,,,,
,,"enum cond",,,,,,,,"N",,"T0","C","S","Z",,,,,,,,,,,,,,,,,,,,
,,"z",,,,,,,,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,"nz",,,,,,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,"s",,,,,,,,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
,,"ns",,,,,,,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
,,"c",,,,,,,,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,,"nc",,,,,,,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,,"t0",,,,,,,,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
,,"nt0",,,,,,,,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
,,"zs",,,,,,,,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
,,"nzs",,,,,,,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
,,"enum dst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"mc0",,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,"mc1",,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,"mc2",,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,"mc3",,,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,"rx",,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,"pl",,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,"ra0",,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,"wa0",,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,,"lop",,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,,"pc",,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
"DMA",,,,,,,,,,,,,,,,,,,,"H","L","D",,,,,,,,,,,,,
,"imm","struct d0_dst_imm",1,1,0,0,,,,,,,,,,,"add",,,"hold",0,0,,"dst",,,"imm",,,,,,,,
,,"struct src_d0_imm",1,1,0,0,,,,,,,,,,,"add",,,"hold",0,1,,"src",,,"imm",,,,,,,,
,"ram","struct d0_dst_ram",1,1,0,0,,,,,,,,,,,"add",,,"hold",1,0,,"dst",,,,,,,,"ram",,,
,,"struct src_d0_ram",1,1,0,0,,,,,,,,,,,"add",,,"hold",1,1,,"src",,,,,,,,"ram",,,
,,"enum ram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"m0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,"m1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1
,,"m2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2
,,"m3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3
,,"mc0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,4
,,"mc1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,5
,,"mc2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,6
,,"mc3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7
,,"enum src",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"mc0",,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
,,"mc1",,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,
,,"mc2",,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,
,,"mc3",,,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,
,,"enum dst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"mc0",,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
,,"mc1",,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,
,,"mc2",,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,
,,"mc3",,,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,
,,"prg",,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,
,,"enum hold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"_false",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,"_true",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,"enum add",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"_0",,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0
,,"_1",,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,1
,,"_2",,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,2
,,"_4",,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,3
,,"_8",,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,4
,,"_16",,,,,,,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,5
,,"_32",,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,6
,,"_64",,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
"JUMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"struct jmp",1,1,0,1,,,0,"imm",,,,,,,,,,,,,,,,,,,,,,,,,
,"conditional","struct jmp_cond",1,1,0,1,,,1,"cond",,,,,,"imm",,,,,,,,,,,,,,,,,,,
,,"enum cond",,,,,,,"F","N",,"T0","C","S","Z",,,,,,,,,,,,,,,,,,,,
,,"z",,,,,,,,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,"nz",,,,,,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,"s",,,,,,,,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
,,"ns",,,,,,,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
,,"c",,,,,,,,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,,"nc",,,,,,,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,,"t0",,,,,,,,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
,,"nt0",,,,,,,,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
,,"zs",,,,,,,,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
,,"nzs",,,,,,,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOOP",,"struct btm",1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"struct lps",1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"END",,"struct end",1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"struct endi",1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
